	Keywords	Count
1	자유	160
2	일정	65
3	맛집	53
4	일본	44
5	제주도	42
6	다낭	38
7	오사카	38
8	경비	30
9	방콕	30
10	후쿠오카	30
11	후기	29
12	일정 자유	29
13	유럽	28
14	베트남	25
15	투어	25
16	가족	24
17	제주	24
18	혼자	24
19	날씨	24
20	홍콩	22
21	국내	22
22	대만	22
23	호텔	20
