	Keywords	Count
1	자유	137
2	일본	60
3	제주도	59
4	일정	46
5	오사카	43
6	유럽	41
7	대만	36
8	경비	33
9	제주	28
10	도쿄	26
11	오사카 자유	25
12	방콕	25
13	홍콩	23
14	중국	23
15	파리	23
16	일정 자유	22
17	후쿠오카	21
18	교토	21
19	오키나와	20
