	Keywords	Count
1	국내	71
2	제주도	61
3	제주	60
4	당일치기	49
5	강원도	44
6	여수	40
7	맛집	39
8		37
9	섬	34
10	제주 제주도	32
11	강릉	29
12	카페	27
13	경주	27
14	세계	26
15	전남	25
16	마을	25
17	겨울	24
18	힐링	23
19	가족	23
20	속초	23
21	부산	21
22	이벤트	21
23	길	21
24	통영	20
25	숙소	20
26	명소	20
