	Keywords	Count
1	자유	111
2	일본	99
3	겨울	84
4	투어	56
5	베트남	55
6	제주	51
7	가족	44
8	맛집	41
9	후쿠오카	40
10	오사카	40
11	제주도	39
12	태국	37
13	호텔	34
14	후기	33
15		33
16	다낭	32
17	국내	31
18	제주 제주도	30
19	일정	29
20	숙소	27
21	예약	27
22	명소	26
23	관광지	26
24	강원도	25
25	괌	24
26	대만	24
27	세부	24
28	도쿄	24
29	오사카 일본	24
30	당일치기	24
31	카페	23
32	날씨	22
33	항공권	22
34	부산	22
35	전남	22
36	경비	21
37	방콕	21
38	공항	21
39	근교	21
40	방콕 태국	20
41	방법	20
