	Keywords	Count
1	자유	96
2	투어	82
3	일본	79
4	베트남	54
5	후기	50
6	일정	48
7	단풍	42
8	맛집	41
9	제주	41
10	가족	40
11	숙소	39
12	호텔	37
13	태국	35
14	제주도	35
15	날씨	33
16	명소	30
17	유럽	30
18	카페	28
19	골프	27
20	예약	26
21		25
22	경비	25
23	제주 제주도	24
24	다낭	23
25	세부	23
26	겨울	23
27	강원도	23
28	도쿄	22
29	필리핀	22
30	패키지	22
31	오사카	20
32	리조트	20
33	당일치기	20
