	Keywords	Count
1	제주	57
2	제주도	49
3	국내	47
4	자유	34
5	당일치기	31
6	섬	29
7	강원도	28
8	맛집	28
9	힐링	27
10	가족	27
11	마을	26
12	경주	23
13	카페	21
14	명소	21
15	강릉	21
16	부산	21
17		20
