	Keywords	Count
1	자유	82
2	일정	43
3	투어	33
4	제주	32
5	유럽	31
6	혼자	29
7	맛집	29
8	당일치기	27
9	숙소	26
10	경비	23
11	부산	23
12	베트남	23
13	가족	23
14	겨울	23
15	제주도	22
16	호텔	20
