('공감', '프로') : 18
('경비', '일정') : 13
('다낭', '베트남') : 13
('오사카', '일본') : 12
('공유', '일정') : 7
('온천', '일본') : 7
('다낭', '일정') : 6
('날씨', '옷차림') : 6
('북', '포토') : 6
('일본', '일정') : 6
('료칸', '온천') : 6
('대만', '타이베이') : 6
('체코', '프라하') : 6
('알파카', '월드') : 6
('순천', '전남') : 6
('런던', '후기') : 6
('오사카', '일정') : 6
('경비', '유럽') : 5
('골프', '중국') : 5
('도쿄', '일본') : 5
('일본', '후기') : 5
('일정', '홍콩') : 5
('방콕', '일정') : 5
('근교', '서울') : 5
('국내', '봄') : 5
('달', '유럽') : 5
('스위스', '인터라켄') : 5
